"Age_cat","Pclass","Sex","withFam"
"Adulte","3","male","1"
"Adulte","1","female","1"
"Adulte","3","female","0"
"Adulte","1","female","1"
"Adulte","3","male","0"
NA,"3","male","0"
"Adulte","1","male","0"
"Enfant","3","male","1"
"Adulte","3","female","1"
"Adolescent","2","female","1"
"Enfant","3","female","1"
"Adulte","1","female","0"
"Adulte","3","male","0"
"Adulte","3","male","1"
"Adolescent","3","female","0"
"Adulte","2","female","0"
"Enfant","3","male","1"
NA,"2","male","0"
"Adulte","3","female","1"
NA,"3","female","0"
"Adulte","2","male","0"
"Adulte","2","male","0"
"Adolescent","3","female","0"
"Adulte","1","male","0"
"Enfant","3","female","1"
"Adulte","3","female","1"
NA,"3","male","0"
"Adulte","1","male","1"
NA,"3","female","0"
NA,"3","male","0"
"Adulte","1","male","0"
NA,"1","female","1"
NA,"3","female","0"
"Senior","2","male","0"
"Adulte","1","male","1"
"Adulte","1","male","1"
NA,"3","male","0"
"Adulte","3","male","0"
"Adulte","3","female","1"
"Adolescent","3","female","1"
"Adulte","3","female","1"
"Adulte","2","female","1"
NA,"3","male","0"
"Enfant","2","female","1"
"Adulte","3","female","0"
NA,"3","male","0"
NA,"3","male","1"
NA,"3","female","0"
NA,"3","male","1"
"Adulte","3","female","1"
"Enfant","3","male","1"
"Adulte","3","male","0"
"Adulte","1","female","1"
"Adulte","2","female","1"
"Senior","1","male","1"
NA,"1","male","0"
"Adulte","2","female","0"
"Adulte","3","male","0"
"Enfant","2","female","1"
"Enfant","3","male","1"
"Adulte","3","male","0"
"Adulte","1","female","0"
"Adulte","1","male","1"
"Enfant","3","male","1"
NA,"1","male","0"
NA,"3","male","1"
"Adulte","2","female","0"
"Adulte","3","male","0"
"Adolescent","3","female","1"
"Adulte","3","male","1"
"Adulte","2","male","0"
"Adolescent","3","female","1"
"Adulte","2","male","0"
"Adulte","3","male","1"
"Adulte","3","male","0"
"Adulte","3","male","0"
NA,"3","male","0"
NA,"3","male","0"
"Enfant","2","male","1"
"Adulte","3","female","0"
"Adulte","3","male","0"
"Adulte","3","male","0"
NA,"3","female","0"
"Adulte","1","male","0"
"Adolescent","2","female","0"
"Adulte","3","female","1"
"Adolescent","3","male","1"
NA,"3","male","0"
"Adulte","1","female","1"
"Adulte","3","male","0"
"Adulte","3","male","0"
"Adulte","3","male","0"
"Adulte","1","male","1"
"Adulte","3","male","1"
"Adulte","3","male","0"
NA,"3","male","0"
"Senior","1","male","0"
"Adulte","1","male","1"
"Adulte","2","female","1"
"Adulte","2","male","1"
"Adulte","3","female","0"
NA,"3","male","0"
"Adulte","1","male","1"
"Adulte","3","male","0"
"Adulte","3","male","1"
"Adulte","3","male","0"
"Adulte","3","female","0"
NA,"3","male","0"
"Adulte","3","male","0"
NA,"3","female","1"
"Adulte","1","male","0"
"Adolescent","3","female","1"
"Adulte","3","male","0"
"Adulte","3","female","1"
"Adolescent","3","female","0"
"Adulte","3","male","0"
"Senior","3","male","0"
"Adulte","2","male","1"
"Adulte","1","male","1"
"Enfant","3","female","1"
"Adulte","2","male","1"
NA,"3","male","0"
"Adulte","2","male","1"
"Adulte","2","female","0"
"Adulte","1","male","1"
"Enfant","3","male","1"
NA,"3","male","0"
"Adulte","3","male","0"
NA,"3","female","1"
"Adulte","3","male","0"
"Adulte","3","male","0"
"Adulte","3","male","0"
"Adulte","3","female","1"
"Adulte","2","female","1"
"Adulte","2","male","0"
"Adulte","2","male","0"
"Adulte","1","female","1"
"Adulte","1","male","1"
"Adolescent","3","male","0"
"Adulte","1","male","0"
NA,"3","female","1"
"Adulte","3","female","0"
"Adulte","3","female","1"
"Adulte","3","male","0"
"Adulte","2","male","0"
"Adulte","2","male","1"
"Adulte","3","male","0"
"Enfant","3","female","1"
"Adulte","2","male","1"
"Adulte","2","male","0"
"Adulte","2","male","0"
"Adulte","1","female","1"
"Adulte","3","male","0"
"Adulte","3","male","1"
NA,"3","male","0"
"Adulte","1","male","1"
"Adolescent","3","female","0"
"Adulte","3","male","0"
NA,"3","male","0"
NA,"3","male","1"
"Adulte","3","male","1"
"Adulte","2","female","0"
"Adulte","3","male","0"
"Adolescent","3","male","0"
"Enfant","3","male","1"
"Enfant","3","male","1"
NA,"1","female","1"
"Adulte","3","female","1"
NA,"1","male","0"
"Adulte","3","male","0"
"Senior","1","male","0"
"Enfant","3","male","1"
"Enfant","3","female","1"
"Adulte","3","male","0"
"Adulte","1","male","0"
"Adulte","3","male","1"
NA,"3","male","1"
"Adulte","1","female","0"
"Adulte","2","male","0"
NA,"3","female","1"
NA,"2","male","0"
"Enfant","3","male","1"
"Enfant","2","male","1"
"Enfant","3","female","1"
NA,"1","male","0"
NA,"3","female","1"
"Adulte","1","male","0"
"Adulte","3","male","1"
"Adulte","3","male","0"
"Adulte","2","female","0"
"Adulte","2","male","0"
"Adulte","3","female","1"
"Enfant","2","male","1"
"Adulte","1","female","0"
"Adulte","1","female","0"
NA,"3","male","0"
"Adulte","3","male","1"
NA,"3","female","0"
"Adulte","2","female","0"
"Adulte","3","male","0"
NA,"3","male","1"
"Adulte","3","male","0"
"Adulte","3","male","0"
"Adulte","3","male","0"
"Enfant","3","female","1"
"Adulte","3","male","1"
"Adulte","3","male","0"
"Adolescent","3","female","0"
"Adulte","1","male","0"
"Adulte","3","male","0"
"Adulte","2","female","0"
"Adulte","3","male","0"
"Adulte","2","male","0"
NA,"3","male","1"
"Adulte","1","female","1"
