"Age","SibSp","Parch","Fam","Fare"
22,1,0,1,7.25
38,1,0,1,71.2833
26,0,0,0,7.925
35,1,0,1,53.1
35,0,0,0,8.05
NA,0,0,0,8.4583
54,0,0,0,51.8625
2,3,1,4,21.075
27,0,2,2,11.1333
14,1,0,1,30.0708
4,1,1,2,16.7
58,0,0,0,26.55
20,0,0,0,8.05
39,1,5,6,31.275
14,0,0,0,7.8542
55,0,0,0,16
2,4,1,5,29.125
NA,0,0,0,13
31,1,0,1,18
NA,0,0,0,7.225
35,0,0,0,26
34,0,0,0,13
15,0,0,0,8.0292
28,0,0,0,35.5
8,3,1,4,21.075
38,1,5,6,31.3875
NA,0,0,0,7.225
19,3,2,5,263
NA,0,0,0,7.8792
NA,0,0,0,7.8958
40,0,0,0,27.7208
NA,1,0,1,146.5208
NA,0,0,0,7.75
66,0,0,0,10.5
28,1,0,1,82.1708
42,1,0,1,52
NA,0,0,0,7.2292
21,0,0,0,8.05
18,2,0,2,18
14,1,0,1,11.2417
40,1,0,1,9.475
27,1,0,1,21
NA,0,0,0,7.8958
3,1,2,3,41.5792
19,0,0,0,7.8792
NA,0,0,0,8.05
NA,1,0,1,15.5
NA,0,0,0,7.75
NA,2,0,2,21.6792
18,1,0,1,17.8
7,4,1,5,39.6875
21,0,0,0,7.8
49,1,0,1,76.7292
29,1,0,1,26
65,0,1,1,61.9792
NA,0,0,0,35.5
21,0,0,0,10.5
28.5,0,0,0,7.2292
5,1,2,3,27.75
11,5,2,7,46.9
22,0,0,0,7.2292
38,0,0,0,80
45,1,0,1,83.475
4,3,2,5,27.9
NA,0,0,0,27.7208
NA,1,1,2,15.2458
29,0,0,0,10.5
19,0,0,0,8.1583
17,4,2,6,7.925
26,2,0,2,8.6625
32,0,0,0,10.5
16,5,2,7,46.9
21,0,0,0,73.5
26,1,0,1,14.4542
32,0,0,0,56.4958
25,0,0,0,7.65
NA,0,0,0,7.8958
NA,0,0,0,8.05
0.83,0,2,2,29
30,0,0,0,12.475
22,0,0,0,9
29,0,0,0,9.5
NA,0,0,0,7.7875
28,0,0,0,47.1
17,0,0,0,10.5
33,3,0,3,15.85
16,1,3,4,34.375
NA,0,0,0,8.05
23,3,2,5,263
24,0,0,0,8.05
29,0,0,0,8.05
20,0,0,0,7.8542
46,1,0,1,61.175
26,1,2,3,20.575
59,0,0,0,7.25
NA,0,0,0,8.05
71,0,0,0,34.6542
23,0,1,1,63.3583
34,0,1,1,23
34,1,0,1,26
28,0,0,0,7.8958
NA,0,0,0,7.8958
21,0,1,1,77.2875
33,0,0,0,8.6542
37,2,0,2,7.925
28,0,0,0,7.8958
21,0,0,0,7.65
NA,0,0,0,7.775
38,0,0,0,7.8958
NA,1,0,1,24.15
47,0,0,0,52
14.5,1,0,1,14.4542
22,0,0,0,8.05
20,1,0,1,9.825
17,0,0,0,14.4583
21,0,0,0,7.925
70.5,0,0,0,7.75
29,1,0,1,21
24,0,1,1,247.5208
2,4,2,6,31.275
21,2,0,2,73.5
NA,0,0,0,8.05
32.5,1,0,1,30.0708
32.5,0,0,0,13
54,0,1,1,77.2875
12,1,0,1,11.2417
NA,0,0,0,7.75
24,0,0,0,7.1417
NA,1,1,2,22.3583
45,0,0,0,6.975
33,0,0,0,7.8958
20,0,0,0,7.05
47,1,0,1,14.5
29,1,0,1,26
25,0,0,0,13
23,0,0,0,15.0458
19,0,2,2,26.2833
37,1,0,1,53.1
16,0,0,0,9.2167
24,0,0,0,79.2
NA,0,2,2,15.2458
22,0,0,0,7.75
24,1,0,1,15.85
19,0,0,0,6.75
18,0,0,0,11.5
19,1,1,2,36.75
27,0,0,0,7.7958
9,2,2,4,34.375
36.5,0,2,2,26
42,0,0,0,13
