"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Fam","withFam","Age_cat"
1,"0","3","male",22,1,0,7.25,1,"1","(18,60]"
2,"1","1","female",38,1,0,71.2833,1,"1","(18,60]"
3,"1","3","female",26,0,0,7.925,0,"0","(18,60]"
4,"1","1","female",35,1,0,53.1,1,"1","(18,60]"
5,"0","3","male",35,0,0,8.05,0,"0","(18,60]"
6,"0","3","male",NA,0,0,8.4583,0,"0",NA
7,"0","1","male",54,0,0,51.8625,0,"0","(18,60]"
8,"0","3","male",2,3,1,21.075,4,"1","(0,13]"
9,"1","3","female",27,0,2,11.1333,2,"1","(18,60]"
10,"1","2","female",14,1,0,30.0708,1,"1","(13,18]"
11,"1","3","female",4,1,1,16.7,2,"1","(0,13]"
12,"1","1","female",58,0,0,26.55,0,"0","(18,60]"
13,"0","3","male",20,0,0,8.05,0,"0","(18,60]"
14,"0","3","male",39,1,5,31.275,6,"1","(18,60]"
15,"0","3","female",14,0,0,7.8542,0,"0","(13,18]"
16,"1","2","female",55,0,0,16,0,"0","(18,60]"
17,"0","3","male",2,4,1,29.125,5,"1","(0,13]"
18,"1","2","male",NA,0,0,13,0,"0",NA
19,"0","3","female",31,1,0,18,1,"1","(18,60]"
20,"1","3","female",NA,0,0,7.225,0,"0",NA
21,"0","2","male",35,0,0,26,0,"0","(18,60]"
22,"1","2","male",34,0,0,13,0,"0","(18,60]"
23,"1","3","female",15,0,0,8.0292,0,"0","(13,18]"
24,"1","1","male",28,0,0,35.5,0,"0","(18,60]"
25,"0","3","female",8,3,1,21.075,4,"1","(0,13]"
26,"1","3","female",38,1,5,31.3875,6,"1","(18,60]"
27,"0","3","male",NA,0,0,7.225,0,"0",NA
28,"0","1","male",19,3,2,263,5,"1","(18,60]"
29,"1","3","female",NA,0,0,7.8792,0,"0",NA
30,"0","3","male",NA,0,0,7.8958,0,"0",NA
31,"0","1","male",40,0,0,27.7208,0,"0","(18,60]"
32,"1","1","female",NA,1,0,146.5208,1,"1",NA
33,"1","3","female",NA,0,0,7.75,0,"0",NA
34,"0","2","male",66,0,0,10.5,0,"0","(60,80]"
35,"0","1","male",28,1,0,82.1708,1,"1","(18,60]"
36,"0","1","male",42,1,0,52,1,"1","(18,60]"
37,"1","3","male",NA,0,0,7.2292,0,"0",NA
38,"0","3","male",21,0,0,8.05,0,"0","(18,60]"
39,"0","3","female",18,2,0,18,2,"1","(13,18]"
40,"1","3","female",14,1,0,11.2417,1,"1","(13,18]"
41,"0","3","female",40,1,0,9.475,1,"1","(18,60]"
42,"0","2","female",27,1,0,21,1,"1","(18,60]"
43,"0","3","male",NA,0,0,7.8958,0,"0",NA
44,"1","2","female",3,1,2,41.5792,3,"1","(0,13]"
45,"1","3","female",19,0,0,7.8792,0,"0","(18,60]"
46,"0","3","male",NA,0,0,8.05,0,"0",NA
47,"0","3","male",NA,1,0,15.5,1,"1",NA
48,"1","3","female",NA,0,0,7.75,0,"0",NA
49,"0","3","male",NA,2,0,21.6792,2,"1",NA
50,"0","3","female",18,1,0,17.8,1,"1","(13,18]"
51,"0","3","male",7,4,1,39.6875,5,"1","(0,13]"
52,"0","3","male",21,0,0,7.8,0,"0","(18,60]"
53,"1","1","female",49,1,0,76.7292,1,"1","(18,60]"
54,"1","2","female",29,1,0,26,1,"1","(18,60]"
55,"0","1","male",65,0,1,61.9792,1,"1","(60,80]"
56,"1","1","male",NA,0,0,35.5,0,"0",NA
57,"1","2","female",21,0,0,10.5,0,"0","(18,60]"
58,"0","3","male",28.5,0,0,7.2292,0,"0","(18,60]"
59,"1","2","female",5,1,2,27.75,3,"1","(0,13]"
60,"0","3","male",11,5,2,46.9,7,"1","(0,13]"
61,"0","3","male",22,0,0,7.2292,0,"0","(18,60]"
62,"1","1","female",38,0,0,80,0,"0","(18,60]"
63,"0","1","male",45,1,0,83.475,1,"1","(18,60]"
64,"0","3","male",4,3,2,27.9,5,"1","(0,13]"
65,"0","1","male",NA,0,0,27.7208,0,"0",NA
66,"1","3","male",NA,1,1,15.2458,2,"1",NA
67,"1","2","female",29,0,0,10.5,0,"0","(18,60]"
68,"0","3","male",19,0,0,8.1583,0,"0","(18,60]"
69,"1","3","female",17,4,2,7.925,6,"1","(13,18]"
70,"0","3","male",26,2,0,8.6625,2,"1","(18,60]"
71,"0","2","male",32,0,0,10.5,0,"0","(18,60]"
72,"0","3","female",16,5,2,46.9,7,"1","(13,18]"
73,"0","2","male",21,0,0,73.5,0,"0","(18,60]"
74,"0","3","male",26,1,0,14.4542,1,"1","(18,60]"
75,"1","3","male",32,0,0,56.4958,0,"0","(18,60]"
76,"0","3","male",25,0,0,7.65,0,"0","(18,60]"
77,"0","3","male",NA,0,0,7.8958,0,"0",NA
78,"0","3","male",NA,0,0,8.05,0,"0",NA
79,"1","2","male",0.83,0,2,29,2,"1","(0,13]"
80,"1","3","female",30,0,0,12.475,0,"0","(18,60]"
81,"0","3","male",22,0,0,9,0,"0","(18,60]"
82,"1","3","male",29,0,0,9.5,0,"0","(18,60]"
83,"1","3","female",NA,0,0,7.7875,0,"0",NA
84,"0","1","male",28,0,0,47.1,0,"0","(18,60]"
85,"1","2","female",17,0,0,10.5,0,"0","(13,18]"
86,"1","3","female",33,3,0,15.85,3,"1","(18,60]"
87,"0","3","male",16,1,3,34.375,4,"1","(13,18]"
88,"0","3","male",NA,0,0,8.05,0,"0",NA
89,"1","1","female",23,3,2,263,5,"1","(18,60]"
90,"0","3","male",24,0,0,8.05,0,"0","(18,60]"
91,"0","3","male",29,0,0,8.05,0,"0","(18,60]"
92,"0","3","male",20,0,0,7.8542,0,"0","(18,60]"
93,"0","1","male",46,1,0,61.175,1,"1","(18,60]"
94,"0","3","male",26,1,2,20.575,3,"1","(18,60]"
95,"0","3","male",59,0,0,7.25,0,"0","(18,60]"
96,"0","3","male",NA,0,0,8.05,0,"0",NA
97,"0","1","male",71,0,0,34.6542,0,"0","(60,80]"
98,"1","1","male",23,0,1,63.3583,1,"1","(18,60]"
99,"1","2","female",34,0,1,23,1,"1","(18,60]"
100,"0","2","male",34,1,0,26,1,"1","(18,60]"
101,"0","3","female",28,0,0,7.8958,0,"0","(18,60]"
102,"0","3","male",NA,0,0,7.8958,0,"0",NA
103,"0","1","male",21,0,1,77.2875,1,"1","(18,60]"
104,"0","3","male",33,0,0,8.6542,0,"0","(18,60]"
105,"0","3","male",37,2,0,7.925,2,"1","(18,60]"
106,"0","3","male",28,0,0,7.8958,0,"0","(18,60]"
107,"1","3","female",21,0,0,7.65,0,"0","(18,60]"
108,"1","3","male",NA,0,0,7.775,0,"0",NA
109,"0","3","male",38,0,0,7.8958,0,"0","(18,60]"
110,"1","3","female",NA,1,0,24.15,1,"1",NA
111,"0","1","male",47,0,0,52,0,"0","(18,60]"
112,"0","3","female",14.5,1,0,14.4542,1,"1","(13,18]"
113,"0","3","male",22,0,0,8.05,0,"0","(18,60]"
114,"0","3","female",20,1,0,9.825,1,"1","(18,60]"
115,"0","3","female",17,0,0,14.4583,0,"0","(13,18]"
116,"0","3","male",21,0,0,7.925,0,"0","(18,60]"
117,"0","3","male",70.5,0,0,7.75,0,"0","(60,80]"
118,"0","2","male",29,1,0,21,1,"1","(18,60]"
119,"0","1","male",24,0,1,247.5208,1,"1","(18,60]"
120,"0","3","female",2,4,2,31.275,6,"1","(0,13]"
121,"0","2","male",21,2,0,73.5,2,"1","(18,60]"
122,"0","3","male",NA,0,0,8.05,0,"0",NA
123,"0","2","male",32.5,1,0,30.0708,1,"1","(18,60]"
124,"1","2","female",32.5,0,0,13,0,"0","(18,60]"
125,"0","1","male",54,0,1,77.2875,1,"1","(18,60]"
126,"1","3","male",12,1,0,11.2417,1,"1","(0,13]"
127,"0","3","male",NA,0,0,7.75,0,"0",NA
128,"1","3","male",24,0,0,7.1417,0,"0","(18,60]"
129,"1","3","female",NA,1,1,22.3583,2,"1",NA
130,"0","3","male",45,0,0,6.975,0,"0","(18,60]"
131,"0","3","male",33,0,0,7.8958,0,"0","(18,60]"
132,"0","3","male",20,0,0,7.05,0,"0","(18,60]"
133,"0","3","female",47,1,0,14.5,1,"1","(18,60]"
134,"1","2","female",29,1,0,26,1,"1","(18,60]"
135,"0","2","male",25,0,0,13,0,"0","(18,60]"
136,"0","2","male",23,0,0,15.0458,0,"0","(18,60]"
137,"1","1","female",19,0,2,26.2833,2,"1","(18,60]"
138,"0","1","male",37,1,0,53.1,1,"1","(18,60]"
139,"0","3","male",16,0,0,9.2167,0,"0","(13,18]"
140,"0","1","male",24,0,0,79.2,0,"0","(18,60]"
141,"0","3","female",NA,0,2,15.2458,2,"1",NA
142,"1","3","female",22,0,0,7.75,0,"0","(18,60]"
143,"1","3","female",24,1,0,15.85,1,"1","(18,60]"
144,"0","3","male",19,0,0,6.75,0,"0","(18,60]"
145,"0","2","male",18,0,0,11.5,0,"0","(13,18]"
146,"0","2","male",19,1,1,36.75,2,"1","(18,60]"
147,"1","3","male",27,0,0,7.7958,0,"0","(18,60]"
148,"0","3","female",9,2,2,34.375,4,"1","(0,13]"
149,"0","2","male",36.5,0,2,26,2,"1","(18,60]"
150,"0","2","male",42,0,0,13,0,"0","(18,60]"
151,"0","2","male",51,0,0,12.525,0,"0","(18,60]"
152,"1","1","female",22,1,0,66.6,1,"1","(18,60]"
153,"0","3","male",55.5,0,0,8.05,0,"0","(18,60]"
154,"0","3","male",40.5,0,2,14.5,2,"1","(18,60]"
155,"0","3","male",NA,0,0,7.3125,0,"0",NA
156,"0","1","male",51,0,1,61.3792,1,"1","(18,60]"
157,"1","3","female",16,0,0,7.7333,0,"0","(13,18]"
158,"0","3","male",30,0,0,8.05,0,"0","(18,60]"
159,"0","3","male",NA,0,0,8.6625,0,"0",NA
160,"0","3","male",NA,8,2,69.55,10,"1",NA
161,"0","3","male",44,0,1,16.1,1,"1","(18,60]"
162,"1","2","female",40,0,0,15.75,0,"0","(18,60]"
163,"0","3","male",26,0,0,7.775,0,"0","(18,60]"
164,"0","3","male",17,0,0,8.6625,0,"0","(13,18]"
165,"0","3","male",1,4,1,39.6875,5,"1","(0,13]"
166,"1","3","male",9,0,2,20.525,2,"1","(0,13]"
167,"1","1","female",NA,0,1,55,1,"1",NA
168,"0","3","female",45,1,4,27.9,5,"1","(18,60]"
169,"0","1","male",NA,0,0,25.925,0,"0",NA
170,"0","3","male",28,0,0,56.4958,0,"0","(18,60]"
171,"0","1","male",61,0,0,33.5,0,"0","(60,80]"
172,"0","3","male",4,4,1,29.125,5,"1","(0,13]"
173,"1","3","female",1,1,1,11.1333,2,"1","(0,13]"
174,"0","3","male",21,0,0,7.925,0,"0","(18,60]"
175,"0","1","male",56,0,0,30.6958,0,"0","(18,60]"
176,"0","3","male",18,1,1,7.8542,2,"1","(13,18]"
177,"0","3","male",NA,3,1,25.4667,4,"1",NA
178,"0","1","female",50,0,0,28.7125,0,"0","(18,60]"
179,"0","2","male",30,0,0,13,0,"0","(18,60]"
181,"0","3","female",NA,8,2,69.55,10,"1",NA
182,"0","2","male",NA,0,0,15.05,0,"0",NA
183,"0","3","male",9,4,2,31.3875,6,"1","(0,13]"
184,"1","2","male",1,2,1,39,3,"1","(0,13]"
