A5;A10;A20;A40;globale
0,012855016;0,966382257;0,87514354;-0,912806967;5,142168484
0,120551331;-0,372690808;1,117127288;1,427867662;5,615903756
-0,113200116;0,121023851;0,033025414;0,807941951;4,52274913
2,055657536;2,090874383;0,365501895;-1,088393273;6,654766617
1,444886947;0,98416216;0,458546319;-0,275989058;6,623145718
0,605675112;1,095403893;1,950686898;2,102870858;7,228318152
1,242498644;1,191124599;0,828782395;2,159204122;8,242051411
1,602102766;1,307754228;-0,210174844;0,56575495;6,871401455
-0,822433968;-0,796442313;0,176531055;0,204703395;2,865895645
1,650131057;2,878760643;2,3755205;1,254244762;9,235996374
1,989910781;1,991179715;0,038196654;1,679324227;7,502776239
1,815739654;1,155344092;1,564465492;0,190118572;7,065169544
0,080633149;1,098214435;1,756229321;1,04551137;6,555479082
1,305864067;1,755921426;1,271972748;-0,057945748;7,742344353
-1,785784637;-1,476990121;0,968607535;0,115630125;2,423294343
1,094612115;-0,63014544;-0,735109433;-2,06509043;3,033438901
-0,797259201;-0,093116659;-0,940682044;-0,295827616;2,940380503
1,304962832;0,2547635;0,352062859;0,213904109;5,033039689
-0,308948738;-0,180671606;-1,029010929;0,741929259;3,391289755
0,816939472;0,505898884;-0,223883429;0,552548173;5,692344029
0,194590781;-0,239536663;0,520317712;0,137229804;4,414084368
0,36182156;1,151045798;-0,318645736;-1,175546687;4,904629685
0,431758191;0,770877443;2,286416072;1,731752175;7,643223997
-0,704738034;-0,715270906;0,512948102;0,020182215;3,737160631
-1,037271905;0,002077551;0,142859793;-0,972530791;2,782381882
0,882562618;-0,325907874;0,018184928;-0,551301997;4,534762371
2,012723808;1,269615703;0,902579095;0,859748595;8,168715204
0,605309769;0,983898201;0,634898646;-0,803921535;5,142135974
0,458145797;1,740001121;2,036648105;2,22314647;6,95256831
-0,519288743;-0,516154624;0,339288614;-0,040718408;3,893651652
-0,409529515;-1,248411532;-0,166357555;0,927029475;1,506719915
0,653079565;0,331917391;0,29713308;-0,138121769;5,206158166
0,07979993;-0,745884521;0,705577957;-0,205197309;3,320348126
0,966701478;0,339391991;0,071069223;1,052323521;5,963890746
-0,532543834;-1,511201174;0,32458068;0,47681703;3,123086188
0,412756294;0,910017033;0,873636527;-0,211252858;6,197188866
0,309220732;1,040291431;0,633789422;-1,139697058;4,661377586
-0,747905068;0,357830796;1,278680806;2,25655302;5,848129257
-0,884444407;-0,063261717;0,937105031;0,55747004;3,993618548
0,842715509;0,774731951;0,457507417;1,881762053;6,669459432
-0,064570421;0,761550835;0,514018576;0,942008315;5,504803265
0,328481914;0,65359267;1,630162462;0,925817648;6,693665893
-1,82899403;-1,317190686;-1,294952035;-1,244334379;0,385085825
-0,638480624;0,450751786;1,238727727;-0,415011783;4,811893519
0,47697034;0,97169639;0,152378028;-0,476968335;5,220700415
0,488486284;0,310776294;-0,214170851;-0,192849886;4,454300511
1,055738666;2,00874137;1,210121773;0,931107388;7,662921452
0,883674777;1,432230404;2,16145272;-0,152754893;7,32881177
