Sexe;note22
F;0
M;0
M;2,5
M;3
M;3
M;3
F;3,5
M;4
F;4,5
M;5
M;5
M;5,5
F;6
M;6
M;6
M;6,5
M;7
M;7
M;7,5
F;8
F;8
F;8,5
M;8,5
F;9
F;9,5
F;9,5
F;10
F;10
M;10
M;10
M;10
M;10
F;10,5
M;10,5
M;10,5
M;10,5
M;11
M;11
M;11
M;11
M;11
M;11
F;11,5
F;11,5
F;11,5
F;11,5
M;11,5
M;11,5
M;11,5
F;12
F;12
M;12
M;12
M;12
M;12,5
M;12,5
M;12,5
F;13
M;13
M;13
M;13
F;13,5
F;13,5
M;13,5
M;13,5
M;13,5
M;13,5
M;13,5
F;14
M;14
F;14,5
M;14,5
M;14,5
M;14,5
F;15
F;15
M;15
M;15
M;15,5
M;15,5
F;16,5
F;17
F;17
M;17
M;17
F;18
M;18
M;19
