strategy,opponent,payoff,regret
1,1,1.0000,4.0000
1,2,3.0000,2.0000
1,3,1.0000,4.0000
1,4,1.0000,6.0000
1,5,1.0000,8.0000
1,stage_test,1.8880,1.4988
1,nash_equilibrium,1.0000,2.8889
2,1,0.0000,5.0000
2,2,2.0000,3.0000
2,3,5.0000,0.0000
2,4,2.0000,5.0000
2,5,2.0000,7.0000
2,stage_test,2.5494,0.8374
2,nash_equilibrium,3.3333,0.5556
3,1,3.0000,2.0000
3,2,0.0000,5.0000
3,3,3.0000,2.0000
3,4,7.0000,0.0000
3,5,3.0000,6.0000
3,stage_test,2.9586,0.4281
3,nash_equilibrium,3.8889,0.0000
4,1,4.0000,1.0000
4,2,4.0000,1.0000
4,3,0.0000,5.0000
4,4,4.0000,3.0000
4,5,9.0000,0.0000
4,stage_test,3.1871,0.1996
4,nash_equilibrium,3.8889,0.0000
5,1,5.0000,0.0000
5,2,5.0000,0.0000
5,3,5.0000,0.0000
5,4,0.0000,7.0000
5,5,5.0000,4.0000
5,stage_test,3.3867,0.0000
5,nash_equilibrium,3.8889,0.0000
stage_test,1,1.9304,3.0696
stage_test,2,2.2690,2.7310
stage_test,3,2.8598,2.1402
stage_test,4,3.6313,3.3687
stage_test,5,4.4316,4.5684
stage_test,stage_test,2.8184,0.5684
stage_test,nash_equilibrium,3.5552,0.3337
nash_equilibrium,1,3.8889,1.1111
nash_equilibrium,2,2.5556,2.4444
nash_equilibrium,3,3.0000,2.0000
nash_equilibrium,4,4.0000,3.0000
nash_equilibrium,5,5.0000,4.0000
nash_equilibrium,stage_test,3.1521,0.2346
nash_equilibrium,nash_equilibrium,3.8889,0.0000
