agent,opponent,score,opponent_score,won
best_duo,ctrlAltDefeat,666,1608,0
best_duo,deficit,602,425,1
best_duo,dfy,144,561,0
best_duo,fao,643,534,1
best_duo,fave_ok,295,660,0
best_duo,ghost,367,496,0
best_duo,kAuCarre,15810,4305,1
best_duo,lesCowBoys,791,491303,0
best_duo,lesStrateges,35086,63503501,0
best_duo,naenae,16011,5662,1
best_duo,nash_equilibrium,4772,490335,0
best_duo,stage_test,435,782,0
best_duo,syntax_terror,201948391736579022185402512712393274796340847387909889221279981,100,1
best_duo,un_pain_pita,378,780,0
best_duo,youxi,4135903062765138374357043460349814267829060554504394811,4135903062765138374357043460349814267829060554504394597,1
ctrlAltDefeat,deficit,337,595,0
ctrlAltDefeat,dfy,103,17,1
ctrlAltDefeat,fao,709,577,1
ctrlAltDefeat,fave_ok,343,480,0
ctrlAltDefeat,ghost,324,358,0
ctrlAltDefeat,kAuCarre,371,201,1
ctrlAltDefeat,lesCowBoys,3742,1024,1
ctrlAltDefeat,lesStrateges,3338,752,1
ctrlAltDefeat,naenae,1016,654,1
ctrlAltDefeat,nash_equilibrium,680,691,0
ctrlAltDefeat,stage_test,359,292,1
ctrlAltDefeat,syntax_terror,4310,1315,1
ctrlAltDefeat,un_pain_pita,269,462,0
ctrlAltDefeat,youxi,149,192,0
deficit,dfy,296,311,0
deficit,fao,446,509,0
deficit,fave_ok,429,357,1
deficit,ghost,424,442,0
deficit,kAuCarre,446,430,1
deficit,lesCowBoys,1498,513,1
deficit,lesStrateges,1065,381,1
deficit,naenae,437,534,0
deficit,nash_equilibrium,860,483,1
deficit,stage_test,543,524,1
deficit,syntax_terror,16718,4196,1
deficit,un_pain_pita,500,477,1
deficit,youxi,869,601,1
dfy,fao,622,272,1
dfy,fave_ok,33,295,0
dfy,ghost,147,205,0
dfy,kAuCarre,191,239,0
dfy,lesCowBoys,410,217,1
dfy,lesStrateges,721,60,1
dfy,naenae,86,291,0
dfy,nash_equilibrium,478,345,1
dfy,stage_test,287,247,1
dfy,syntax_terror,770,178,1
dfy,un_pain_pita,61,296,0
dfy,youxi,531,234,1
fao,fave_ok,519,630,0
fao,ghost,322,725,0
fao,kAuCarre,379,475,0
fao,lesCowBoys,654,413,1
fao,lesStrateges,861,2256,0
fao,naenae,469,873,0
fao,nash_equilibrium,1344,860,1
fao,stage_test,586,614,0
fao,syntax_terror,3026,363,1
fao,un_pain_pita,421,701,0
fao,youxi,816,342,1
fave_ok,ghost,311,375,0
fave_ok,kAuCarre,282,341,0
fave_ok,lesCowBoys,575,406,1
fave_ok,lesStrateges,935,198,1
fave_ok,naenae,533,333,1
fave_ok,nash_equilibrium,797,531,1
fave_ok,stage_test,366,408,0
fave_ok,syntax_terror,1138,359,1
fave_ok,un_pain_pita,385,356,1
fave_ok,youxi,546,339,1
ghost,kAuCarre,406,338,1
ghost,lesCowBoys,768,99,1
ghost,lesStrateges,1366,294,1
ghost,naenae,684,461,1
ghost,nash_equilibrium,1291,576,1
ghost,stage_test,248,293,0
ghost,syntax_terror,1122,104,1
ghost,un_pain_pita,313,343,0
ghost,youxi,551,240,1
kAuCarre,lesCowBoys,674,365,1
kAuCarre,lesStrateges,98368,637,1
kAuCarre,naenae,1174,742,1
kAuCarre,nash_equilibrium,39519,156750,0
kAuCarre,stage_test,410,345,1
kAuCarre,syntax_terror,20205,265963,0
kAuCarre,un_pain_pita,248,427,0
kAuCarre,youxi,10927,3560,1
lesCowBoys,lesStrateges,1284,266,1
lesCowBoys,naenae,713,774,0
lesCowBoys,syntax_terror,888178419700125232338905334473521,278,1
lesCowBoys,un_pain_pita,1414,1896,0
lesCowBoys,youxi,548,293,1
lesStrateges,naenae,185,1111,0
lesStrateges,syntax_terror,888178419700125232339271838502462,590295810358705706234,1
lesStrateges,un_pain_pita,227,1237,0
lesStrateges,youxi,462,139,1
naenae,syntax_terror,2584939414228211483973152162718633917393162846565246582319,155,1
naenae,un_pain_pita,397,839,0
naenae,youxi,18189894035458564758301259,225,1
nash_equilibrium,lesCowBoys,16849,9821,1
nash_equilibrium,lesStrateges,2121,30494,0
nash_equilibrium,naenae,371,468,0
nash_equilibrium,stage_test,661,1414,0
nash_equilibrium,syntax_terror,391899,97754,1
nash_equilibrium,un_pain_pita,596,930,0
nash_equilibrium,youxi,427361,904060,0
stage_test,lesCowBoys,2644,2780,0
stage_test,lesStrateges,1953733,491400,1
stage_test,naenae,234,378,0
stage_test,syntax_terror,4196006,1400353,1
stage_test,un_pain_pita,341,523,0
stage_test,youxi,6000,4194467,0
syntax_terror,un_pain_pita,128,188,0
syntax_terror,youxi,633825300114114700748351602690,633825300114114700748351602689,1
un_pain_pita,youxi,111,124,0
