rank,agent,cumulative_score
1,best_duo,201948395872482084950540887069436735146155115216970443725750792
2,naenae,2584939414228211483973152162718652107287198305130004896256
3,youxi,4135903062765138374357044094175114381943761302861102102
4,lesStrateges,888178419700125232339271902533575
5,lesCowBoys,888178419700125232338905334984421
6,syntax_terror,633825300704410511107059080170
7,stage_test,6163877
8,nash_equilibrium,1490429
9,kAuCarre,177854
10,deficit,25551
11,ctrlAltDefeat,17658
12,fao,11289
13,un_pain_pita,9566
14,ghost,9350
15,fave_ok,8290
16,dfy,5226
